#Molecules	Sample 1	Sample 2	Sample 3	Sample 4
C00240    	    10.5	    10.4	     9.9	    10.4
C00241    	     9.9	     9.7	     9.2	     9.2
C00242    	     8.1	     8.2	     8.0	     8.0
C00244    	    10.3	    10.3	     9.6	    10.2
C00247    	     8.8	     8.7	     8.4	     9.1
C00249    	     7.6	     7.8	     6.3	     7.9
C00250    	     6.1	     5.7	     5.5	     6.0
C00251    	    10.2	    10.3	     9.7	    10.1
C00252    	     5.5	     5.3	     4.7	     5.5
C00254    	     7.6	     7.8	     7.5	     7.3
C00255    	     8.0	     8.2	     6.8	     8.2
C00256    	     9.6	     9.6	     8.9	     9.5
C00257    	     9.1	     9.2	     8.9	     8.8
C00258    	     8.9	     9.0	     8.5	     8.8
C00261    	     7.9	     8.0	     7.6	     7.6
C00263    	     8.6	     8.8	     8.6	     8.3
C00264    	     9.6	     9.6	     9.0	     9.1
C00267    	     7.3	     7.6	     7.6	     7.5
C00268    	     9.0	     8.3	     8.1	     8.5
C00270    	    10.3	    10.2	     9.8	    10.0
C00271    	     6.5	     5.9	     6.1	     6.5
C00272    	     9.1	     9.2	     8.4	     9.3
C00275    	     7.8	     7.7	     7.3	     8.2
C00279    	     7.4	     7.2	     6.9	     7.5
C00280    	     8.7	     8.5	     8.0	     8.5
C00281    	     6.8	     6.7	     6.5	     6.9
C00282    	    12.6	    12.6	    12.5	    12.7
C00283    	     7.4	     7.5	     5.5	     7.0
C00286    	     7.8	     7.7	     7.7	     7.5
C00288    	    10.1	    10.4	     9.9	    10.1
C00290    	     9.2	     9.1	     8.6	     8.9
C00291    	     4.8	     4.5	     5.1	     5.0
C00293    	     9.3	     9.2	     8.4	     9.1
C00294    	     9.0	     8.9	     8.9	     8.8
C00295    	     9.8	     9.7	     9.0	     9.8
C00296    	     7.8	     7.8	     7.4	     7.5
C00298    	    10.3	    10.7	    10.1	    10.4
C00299    	     6.2	     6.6	     6.7	     6.5
C00300    	    10.2	    10.0	     9.6	    10.9
C00301    	    10.5	    10.5	    10.2	    11.0
C00302    	     9.8	     9.9	     9.5	     9.7
C00305    	     8.0	     7.9	     7.6	     7.9
C00306    	     8.1	     8.0	     8.5	     7.6
C00311    	     7.0	     7.1	     6.9	     6.9
C00312    	     9.7	     9.6	     9.3	     9.4
C00315    	     4.6	     4.5	     5.6	     4.3
C00317    	     4.2	     3.6	     4.4	     3.6
C00325    	     7.3	     7.0	     7.6	     7.5
C00330    	     7.3	     7.7	     7.9	     7.6
C00333    	     9.0	     9.4	     8.7	     8.9
C00334    	     7.7	     7.7	     8.1	     7.5
C00335    	     7.3	     7.3	     7.4	     7.2
C00337    	     9.7	     9.8	     8.9	     9.3
C00341    	     7.8	     7.9	     6.3	     7.4
C00342    	     7.4	     7.1	     7.7	     7.6
C00343    	     7.0	     7.3	     7.0	     7.2
C00345    	     7.3	     7.3	     7.3	     7.0
C00349    	     7.6	     7.8	     7.6	     7.6
C00351    	     6.4	     6.4	     6.6	     6.5
C00352    	     3.8	     4.1	     4.1	     3.8
C00354    	     5.4	     6.1	     5.1	     5.9
C00355    	     9.3	     9.3	     9.2	     9.0
C00356    	     7.8	     7.6	     6.6	     7.7
C00357    	     7.4	     7.1	     5.9	     6.7
C00360    	     7.4	     7.8	     7.2	     7.6
C00363    	     8.2	     8.1	     8.2	     8.2
C00364    	     5.9	     5.9	     5.2	     5.9
C00365    	     7.9	     7.7	     8.1	     7.6
C00366    	     6.5	     6.8	     6.8	     7.0
C00369    	     4.2	     4.2	     4.3	     4.1
C00370    	     4.9	     5.1	     5.0	     5.0
C00372    	     7.2	     7.0	     5.5	     6.7
C00373    	     9.1	     9.3	     8.0	     8.6
C00375    	     6.7	     7.1	     7.0	     6.8
C00379    	     7.6	     7.8	     6.5	     7.2
C00380    	     9.0	     8.9	     8.5	     8.7
C00385    	     7.0	     7.1	     7.2	     7.2
C00388    	    10.8	    10.6	    10.0	    10.4
C00389    	     8.1	     8.2	     7.9	     8.0
C00390    	     7.2	     6.9	     6.2	     6.5
C00391    	    11.3	    11.3	    11.0	    11.2
C00392    	     8.9	     9.1	     7.6	     9.0
C00393    	     6.7	     6.8	     5.8	     6.7
C00395    	     8.5	     8.6	     7.4	     8.1
C00396    	    12.2	    12.2	    12.0	    12.0
C00399    	     7.3	     7.1	     6.9	     7.2
C00401    	     8.2	     8.4	     7.6	     8.1
C00405    	     9.2	     9.0	     7.8	     8.8
C00407    	     7.4	     7.4	     7.3	     6.8
C00414    	     6.9	     7.1	     7.5	     7.0
C00415    	     4.1	     3.9	     3.7	     3.7
C00418    	     3.6	     4.0	     4.4	     4.3
C00420    	     4.0	     3.8	     4.0	     3.9
C00421    	     7.0	     7.3	     7.0	     7.2
C00422    	     8.2	     8.2	     7.2	     8.1
C00424    	     8.1	     8.7	     7.4	     8.3
C00430    	     7.9	     8.0	     7.1	     7.3
C00432    	     5.4	     5.6	     5.5	     5.7
C00434    	     8.2	     8.5	     8.1	     8.1
C00439    	     6.2	     6.5	     6.8	     6.2
C00440    	     7.5	     7.9	     7.1	     7.4
C00441    	     6.0	     6.1	     5.9	     5.9
C00445    	     4.9	     4.9	     4.9	     5.2
C00448    	    10.1	    10.1	     9.7	    10.0
C00449    	     7.8	     7.9	     6.8	     7.7
C00454    	     6.5	     6.9	     5.9	     6.3
C00455    	     7.8	     7.6	     8.3	     7.7
C00459    	     8.3	     8.5	     8.0	     8.6
C00460    	     7.0	     7.2	     7.1	     7.2
C00461    	     5.8	     5.5	     7.3	     6.1
C00462    	     6.2	     6.2	     5.4	     5.5
C00463    	     9.7	     9.8	     9.4	     9.6
C00468    	     8.1	     7.8	     8.1	     8.1
C00470    	     4.1	     3.9	     4.0	     3.8
C00471    	     8.9	     9.1	     8.3	     8.9
C00472    	    10.6	    10.5	    10.0	    10.7
C00475    	     6.7	     6.8	     7.2	     6.7
C00478    	     6.6	     6.4	     7.1	     6.7
C00479    	     7.8	     7.6	     6.6	     7.3
C00480    	     7.3	     7.6	     6.5	     6.9
C00486    	     7.7	     7.6	     6.5	     7.4
C00493    	     6.0	     6.3	     4.2	     5.8
C00496    	     8.2	     8.2	     8.2	     7.8
C00500    	     5.4	     4.5	     5.1	     4.5
C00501    	     5.9	     6.4	     5.0	     5.7
C00504    	    11.2	    11.3	    10.7	    11.2
C00507    	     6.9	     7.2	     6.8	     6.5
C00509    	     7.4	     7.3	     8.4	     7.6
C00513    	     6.0	     5.6	     5.9	     5.7
C00516    	     9.2	     9.3	     8.9	     9.2
C00518    	    12.7	    12.6	    12.4	    12.6
C00520    	     6.1	     5.7	     5.7	     6.2
C00522    	     4.5	     4.8	     4.7	     4.5
C00523    	     6.8	     7.2	     7.0	     7.3
C00524    	     8.0	     7.9	     8.1	     8.3
C00530    	     6.7	     7.2	     8.0	     6.9
C00533    	     6.7	     6.6	     5.8	     6.6
C00535    	     7.2	     7.2	     6.6	     6.6
C00536    	     6.0	     5.7	     5.8	     5.9
C00542    	     6.5	     6.7	     6.7	     6.9
C00543    	     7.3	     7.7	     7.4	     7.2
C00544    	    13.2	    13.2	    13.1	    13.1
C00546    	     6.4	     6.5	     5.4	     5.9
C00547    	     5.0	     5.3	     4.3	     4.8
C00548    	     7.0	     6.9	     6.8	     6.9
C00551    	     6.0	     5.6	     5.9	     6.2
C00555    	     4.6	     4.6	     5.5	     5.2
C00559    	     6.9	     6.7	     7.4	     6.7
C00560    	     3.3	     3.3	     2.9	     3.1
C00562    	     7.8	     7.9	     7.7	     7.7
C00565    	     6.5	     7.1	     5.8	     6.7
C00568    	     6.7	     6.7	     6.5	     6.5
C00572    	     7.5	     7.5	     6.8	     7.0
C00575    	     9.0	     8.9	     8.5	     8.6
C00576    	    10.9	    11.1	    10.6	    10.8
C00578    	     7.8	     7.9	     8.0	     7.5
C00579    	     6.5	     6.7	     5.8	     6.2
C00581    	     4.6	     4.5	     4.2	     5.0
C00583    	     5.4	     5.5	     5.8	     5.6
C00584    	     5.2	     5.2	     4.5	     4.9
C00585    	     7.3	     7.4	     6.1	     6.9
C00589    	     5.5	     5.1	     4.8	     5.7
C00591    	     7.7	     7.6	     7.6	     7.4
C00596    	     5.5	     5.3	     5.0	     5.0
C00597    	     5.6	     5.8	     4.4	     5.5
C00599    	     9.0	     8.6	     7.8	     8.2
C00602    	     9.5	     9.4	     8.4	     8.9
C00605    	     7.4	     7.5	     6.0	     7.4
C00608    	     7.4	     7.4	     7.2	     7.2
C00613    	     7.9	     7.9	     6.9	     7.7
C00614    	     7.9	     7.8	     7.8	     7.7
C00615    	     8.4	     8.3	     8.0	     8.0
C00619    	     9.4	     9.5	     9.0	     9.2
C00620    	     7.1	     7.2	     7.3	     7.4
C00625    	     7.1	     7.6	     6.9	     7.3
C00627    	     7.0	     7.3	     6.4	     6.8
C00631    	     5.0	     5.3	     5.0	     4.7
C00633    	     7.8	     8.2	     8.0	     7.8
C00634    	     8.5	     8.6	     8.6	     8.5
C00635    	     6.6	     6.9	     6.6	     6.5
C00639    	     8.6	     8.4	     8.5	     8.4
C00640    	     6.7	     7.0	     7.0	     7.0
C00641    	     7.5	     7.5	     6.4	     7.3
C00645    	     7.1	     7.3	     7.5	     7.3
C00647    	     7.1	     7.2	     6.7	     7.5
C00653    	     5.9	     6.0	     5.9	     5.8
C00655    	     6.5	     6.5	     6.1	     6.8
C00657    	     5.1	     4.4	     4.7	     4.7
C00664    	     7.6	     7.6	     7.0	     7.7
C00665    	     7.3	     7.3	     8.1	     6.8
C00666    	     6.9	     6.4	     5.7	     6.6
C00668    	     7.5	     7.7	     6.9	     7.3
C00669    	     6.5	     6.8	     6.5	     6.8
C00670    	     3.2	     3.0	     4.2	     3.5
C00672    	     4.6	     4.3	     4.1	     4.3
C00673    	     8.5	     8.3	     7.8	     8.6
C00674    	     9.6	     9.5	     9.1	     9.3
C00676    	     5.9	     6.4	     6.2	     6.1
C00677    	     7.7	     7.6	     7.2	     7.6
C00679    	     6.6	     7.0	     5.7	     6.5
C00680    	     7.1	     7.4	     7.6	     7.1
C00681    	     7.7	     7.7	     6.0	     7.7
C00682    	     8.3	     8.2	     7.6	     8.0
C00683    	     4.4	     5.2	     4.5	     4.8
C00685    	     3.5	     3.6	     3.7	     3.7
C00688    	     6.0	     6.0	     5.5	     6.1
C00692    	     5.5	     4.7	     4.9	     4.6
C00693    	     6.0	     5.7	     6.2	     5.6
C00695    	     7.3	     7.2	     6.9	     6.8
C00697    	     7.8	     8.1	     7.8	     7.8
C00698    	     6.4	     6.2	     6.1	     6.4
C00701    	     7.2	     7.4	     7.7	     7.6
C00703    	     3.4	     3.5	     3.5	     3.6
C00705    	     6.6	     6.9	     5.5	     6.6
C00707    	     6.6	     6.7	     5.5	     6.7
C00708    	     6.9	     6.9	     7.2	     7.1
C00709    	     3.6	     3.2	     3.0	     3.2
C00713    	     4.1	     4.7	     3.9	     4.5
C00714    	     8.3	     8.3	     7.1	     7.6
C00717    	    10.4	    10.6	    10.1	    10.3
C00718    	     8.3	     8.5	     7.3	     8.3
C00719    	     6.9	     6.9	     7.2	     6.8
C00720    	     7.5	     7.4	     7.1	     7.1
C00721    	     8.2	     8.2	     8.0	     8.4
C00722    	     8.0	     8.1	     7.7	     7.9
C00729    	     4.4	     4.3	     3.6	     4.1
C00734    	     6.4	     6.3	     6.7	     6.6
C00741    	     7.4	     7.4	     7.0	     7.5
C00746    	     7.7	     7.2	     6.6	     6.7
C00748    	     7.2	     7.0	     5.7	     6.4
C00755    	     7.4	     7.7	     7.3	     7.4
C00760    	     8.5	     8.7	     8.7	     8.3
C00766    	     6.5	     6.8	     7.5	     6.8
C00769    	     7.0	     6.3	     6.0	     6.6
C00771    	     5.9	     5.5	     4.7	     5.3
C00779    	     6.5	     6.7	     6.2	     6.6
C00783    	     6.1	     5.8	     6.3	     6.1
C00785    	     6.7	     6.3	     6.0	     5.7
C00788    	     8.3	     8.4	     8.0	     8.2
C00794    	     8.3	     8.4	     8.3	     8.4
C00808    	     5.2	     5.1	     5.3	     4.9
C00818    	     7.2	     6.9	     7.9	     7.1
C00821    	     6.1	     5.9	     6.3	     6.0
C00822    	     7.9	     7.5	     5.9	     7.1
C00829    	     5.5	     5.4	     4.3	     5.0
C00835    	     6.0	     5.7	     5.9	     5.8
C00840    	     8.1	     8.0	     7.6	     7.8
C00842    	     7.9	     7.3	     6.9	     7.5
C00851    	     6.3	     6.1	     7.2	     6.4
C00856    	     7.4	     7.4	     7.4	     7.4
C00857    	     7.7	     7.9	     7.3	     7.5
C00861    	     6.8	     6.9	     6.7	     6.8
C00862    	     7.6	     7.5	     7.3	     7.2
C00868    	     7.2	     6.8	     8.0	     6.9
C00871    	     6.6	     6.3	     7.4	     6.4
C00873    	     6.9	     7.0	     6.4	     6.8
C00875    	     5.9	     5.9	     5.3	     5.9
C00876    	     6.4	     6.3	     5.7	     6.3
C00877    	     5.8	     5.5	     6.6	     5.7
C00881    	     6.6	     6.5	     6.7	     6.4
C00882    	     6.2	     6.3	     6.1	     5.8
C00883    	     5.1	     5.5	     5.7	     5.5
C00887    	     6.2	     6.0	     6.0	     6.2
C00889    	     4.3	     4.3	     3.6	     4.1
C00897    	     6.0	     6.1	     6.2	     6.1
C00911    	     6.8	     6.8	     7.1	     6.5
C00913    	     5.8	     5.3	     5.2	     5.3
C00921    	     3.2	     3.3	     3.4	     3.6
C00923    	     5.3	     5.1	     4.5	     5.1
C00924    	     8.8	     8.7	     8.3	     8.8
C00930    	     7.2	     7.6	     7.8	     7.5
C00931    	     3.5	     3.1	     3.2	     3.1
C00934    	     5.8	     5.7	     6.4	     6.4
C00936    	     6.6	     6.3	     7.2	     6.8
C00937    	     4.8	     5.1	     5.4	     5.3
C00942    	     6.2	     6.1	     6.1	     6.5
C00943    	     7.8	     7.8	     6.9	     7.8
C00944    	     8.1	     8.0	     7.4	     7.8
C00951    	     7.2	     7.2	     6.8	     6.5
C00952    	     6.8	     7.2	     6.0	     6.9
C00953    	     6.0	     5.9	     6.5	     6.4
C00960    	     7.8	     7.6	     6.9	     7.6
C00962    	     7.6	     7.3	     6.7	     7.5
C00963    	     6.2	     6.6	     5.8	     6.7
C00965    	     6.1	     6.1	     5.6	     6.3
C00966    	     7.6	     7.7	     7.9	     7.7
C00968    	     4.3	     4.5	     4.0	     4.1
C00972    	     7.6	     7.6	     7.6	     7.6
C00973    	     6.9	     7.0	     7.5	     7.0
C00976    	     5.8	     6.1	     5.7	     5.8
C00979    	     6.8	     7.0	     7.1	     7.0
C00984    	     8.4	     8.5	     7.1	     7.9
C00986    	     5.3	     5.1	     5.7	     5.6
C00988    	     6.0	     6.4	     7.2	     6.9
C00991    	     4.7	     4.7	     4.7	     4.6
C00993    	     7.1	     7.2	     7.6	     7.4
C00996    	     5.3	     5.4	     5.4	     5.7
C00999    	     6.0	     5.9	     4.8	     5.2
C01001    	     6.6	     7.0	     6.9	     6.9
C01005    	     8.4	     8.2	     6.7	     8.0
C01007    	     5.3	     6.0	     5.2	     5.0
C01016    	     8.2	     7.8	     7.3	     7.8
C01019    	     6.3	     5.8	     6.2	     5.8
C01021    	     6.3	     6.5	     6.1	     6.2
C01024    	     7.0	     6.3	     6.3	     6.7
C01029    	     5.7	     5.7	     5.7	     5.6
C01031    	     5.4	     5.3	     6.0	     5.3
C01032    	     5.0	     5.0	     4.5	     5.1
C01034    	     5.3	     5.4	     6.0	     5.5
C01037    	     7.1	     7.2	     7.0	     7.1
C01038    	    10.6	    10.6	     9.8	    10.5
C01043    	     6.6	     5.8	     6.2	     6.7
C01045    	     6.1	     5.6	     5.2	     5.5
C01050    	     4.3	     4.2	     4.5	     4.1
C01051    	    10.5	    10.5	     9.3	    10.3
C01063    	     5.6	     5.3	     6.4	     6.0
C01064    	     3.6	     4.0	     3.7	     3.6
C01065    	     4.2	     4.1	     5.0	     4.0
C01078    	     6.3	     6.8	     6.4	     6.3
C01081    	     9.0	     8.6	     8.2	     8.8
C01092    	     4.1	     4.0	     4.1	     4.0
C01099    	     5.7	     6.3	     7.2	     6.3
C01103    	     5.3	     4.5	     3.9	     4.7
C01104    	     5.6	     5.3	     5.2	     5.2
C01112    	     6.6	     6.1	     5.3	     6.1
C01113    	     5.6	     6.0	     4.5	     5.9
C01118    	     6.7	     7.0	     6.3	     6.8
C01127    	     9.2	     9.0	     8.4	     8.9
C01132    	    10.1	    10.2	     9.6	    10.0
C01134    	     6.3	     6.0	     5.5	     5.7
C01141    	     6.9	     7.2	     7.0	     7.1
C01146    	     6.0	     6.0	     6.7	     5.8
C01150    	     6.6	     7.1	     6.6	     7.2
C01153    	     6.1	     6.2	     5.5	     6.0
C01159    	     8.8	     8.8	     8.7	     8.4
C01163    	     6.0	     6.4	     6.3	     6.5
C01165    	     3.5	     3.4	     3.2	     3.6
C01167    	     6.0	     5.7	     7.4	     5.8
C01169    	     7.4	     7.4	     9.1	     7.5
C01171    	     5.0	     5.2	     4.7	     5.3
C01173    	     3.0	     3.2	     3.4	     3.1
C01174    	     5.8	     6.1	     6.8	     6.2
C01177    	     6.8	     6.9	     7.0	     6.8
C01179    	     7.9	     7.5	     7.4	     7.4
C01182    	     6.5	     6.4	     6.0	     6.1
C01190    	    10.6	    10.7	    10.4	    10.7
C01194    	     3.7	     3.6	     3.4	     3.5
C01199    	     6.2	     5.3	     6.8	     5.5
C01203    	     7.3	     7.2	     7.1	     7.1
C01204    	     5.4	     5.5	     4.7	     5.1
C01205    	     4.5	     4.4	     4.8	     5.0
C01209    	     7.9	     7.9	     7.3	     7.8
C01212    	     4.5	     4.3	     4.7	     4.5
C01213    	     7.1	     7.3	     6.8	     7.3
C01217    	     6.0	     6.3	     5.8	     6.1
